
Number of words: 1
Write; Address 192; Value 192; Time 449
Write; Address 196; Value 196; Time 450
Write; Address 200; Value 200; Time 451
Write; Address 204; Value 204; Time 452
Write; Address 208; Value 208; Time 453
Write; Address 212; Value 212; Time 454
Write; Address 216; Value 216; Time 455
Write; Address 220; Value 220; Time 456
Write; Address 224; Value 224; Time 457
Write; Address 228; Value 228; Time 458
Write; Address 232; Value 232; Time 459
Write; Address 236; Value 236; Time 460
Write; Address 240; Value 240; Time 461
Write; Address 244; Value 244; Time 462
Write; Address 248; Value 248; Time 463
Write; Address 252; Value 252; Time 464
Read; Address 0; Value 0; Time 465
Read; Address 4; Value 4; Time 466
Read; Address 8; Value 8; Time 467
Read; Address 12; Value 12; Time 468
Read; Address 16; Value 257; Time 469
Read; Address 20; Value 0; Time 470
Read; Address 24; Value 24; Time 471
Read; Address 28; Value 28; Time 472
Read; Address 32; Value 32; Time 473
Read; Address 36; Value 36; Time 474
Read; Address 40; Value 257; Time 475
Read; Address 44; Value 0; Time 476
Read; Address 48; Value 64; Time 477
Read; Address 52; Value 68; Time 478
Read; Address 56; Value 72; Time 479
Read; Address 60; Value 76; Time 480
Read; Address 64; Value 64; Time 481
Read; Address 68; Value 68; Time 482
Read; Address 72; Value 72; Time 483
Read; Address 76; Value 76; Time 484
Read; Address 80; Value 257; Time 485
Read; Address 84; Value 0; Time 486
Read; Address 88; Value 88; Time 487
Read; Address 92; Value 92; Time 488
Read; Address 96; Value 96; Time 489
Read; Address 100; Value 100; Time 490
Read; Address 104; Value 104; Time 491
Read; Address 108; Value 108; Time 492
Read; Address 112; Value 128; Time 493
Read; Address 116; Value 132; Time 494
Read; Address 120; Value 136; Time 495
Read; Address 124; Value 140; Time 496
Read; Address 128; Value 128; Time 497
Read; Address 132; Value 132; Time 498
Read; Address 136; Value 136; Time 499
Read; Address 140; Value 140; Time 500
Read; Address 144; Value 144; Time 501
Read; Address 148; Value 148; Time 502
Read; Address 152; Value 152; Time 503
Read; Address 156; Value 156; Time 504
Read; Address 160; Value 160; Time 505
Read; Address 164; Value 164; Time 506
Read; Address 168; Value 168; Time 507
Read; Address 172; Value 172; Time 508
Read; Address 176; Value 192; Time 509
Read; Address 180; Value 196; Time 510
Read; Address 184; Value 200; Time 511
Read; Address 188; Value 204; Time 512
Read; Address 192; Value 192; Time 513
Read; Address 196; Value 196; Time 514
Read; Address 200; Value 200; Time 515
Read; Address 204; Value 204; Time 516
Read; Address 208; Value 208; Time 517
Read; Address 212; Value 212; Time 518
Read; Address 216; Value 216; Time 519
Read; Address 220; Value 220; Time 520
Read; Address 224; Value 224; Time 521
Read; Address 228; Value 228; Time 522
Read; Address 232; Value 232; Time 523
Read; Address 236; Value 236; Time 524
Read; Address 240; Value 240; Time 525
Read; Address 244; Value 244; Time 526
Read; Address 248; Value 248; Time 527
Read; Address 252; Value 252; Time 528

Number of words: 128
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Write; Address 8; Value 8; Time 103
Write; Address 12; Value 12; Time 104
Write; Address 16; Value 16; Time 105
Write; Address 20; Value 20; Time 106
Write; Address 24; Value 24; Time 107
Write; Address 28; Value 28; Time 108
Write; Address 32; Value 32; Time 109
Write; Address 36; Value 36; Time 110
Write; Address 40; Value 40; Time 111
Write; Address 44; Value 44; Time 112
Write; Address 48; Value 48; Time 113
Write; Address 52; Value 52; Time 114
Write; Address 56; Value 56; Time 115
Write; Address 60; Value 60; Time 116
Write; Address 64; Value 64; Time 217
Write; Address 68; Value 68; Time 218
Write; Address 72; Value 72; Time 219
Write; Address 76; Value 76; Time 220
Write; Address 80; Value 80; Time 221
Write; Address 84; Value 84; Time 222
Write; Address 88; Value 88; Time 223
Write; Address 92; Value 92; Time 224
Write; Address 96; Value 96; Time 225
Write; Address 100; Value 100; Time 226
Write; Address 104; Value 104; Time 227
Write; Address 108; Value 108; Time 228
Write; Address 112; Value 112; Time 229
Write; Address 116; Value 116; Time 230
Write; Address 120; Value 120; Time 231
Write; Address 124; Value 124; Time 232
Write; Address 128; Value 128; Time 333
Write; Address 132; Value 132; Time 334
Write; Address 136; Value 136; Time 335
Write; Address 140; Value 140; Time 336
Write; Address 144; Value 144; Time 337
Write; Address 148; Value 148; Time 338
